date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2011-02-16,61.21,61.3,60.986,61.05,188600,93.7751637548,93.9130458777,93.4319904714,93.5300399809,94300,0.0,1.0
2011-02-17,61.44,61.48,60.98,61.03,316400,94.1275291798,94.1888101233,93.4227983298,93.4993995092,158200,0.0,1.0
2011-02-18,61.54,61.61,61.34,61.48,241600,94.2807315385,94.3879731896,93.9743268211,94.1888101233,120800,0.0,1.0
2011-02-22,60.28,61.19,60.12,60.84,576800,92.350381819,93.7445232831,92.1052580451,93.2083150277,288400,0.0,1.0
2011-02-23,59.94,60.38,59.55,60.25,552000,91.8294937995,92.5035841777,91.2320046006,92.3044211114,276000,0.0,1.0
2011-02-24,59.88,60.076,59.33,59.83,482600,91.7375723842,92.0378490073,90.8949594114,91.6609712049,241300,0.0,1.0
2011-02-25,60.53,60.56,60.1,60.17,212600,92.7333877157,92.7793484233,92.0746175734,92.1818592244,106300,0.0,1.0
2011-02-28,60.89,60.97,60.58,60.77,416600,93.284916207,93.407478094,92.8099888951,93.1010733766,208300,0.0,1.0
2011-03-01,59.85,61.15,59.85,61.14,470600,91.6916116766,93.6832423396,91.6916116766,93.6679221037,235300,0.0,1.0
2011-03-02,60.02,60.28,59.75,59.81,352600,91.9520556864,92.350381819,91.5384093179,91.6303307332,176300,0.0,1.0
2011-03-03,61.05,61.119,60.54,60.54,272800,93.5300399809,93.6357496084,92.7487079516,92.7487079516,136400,0.0,1.0
2011-03-04,60.6,61.03,60.2,61.03,336400,92.8406293668,93.4993995092,92.2278199321,93.4993995092,168200,0.0,1.0
2011-03-07,60.07,60.874,59.8,60.8,310400,92.0286568658,93.2604038296,91.6150104973,93.1470340842,155200,0.0,1.0
2011-03-08,60.63,60.8088,59.98,60.21,212600,92.8865900744,93.1605158918,91.8907747429,92.2431401679,106300,0.0,1.0
2011-03-09,60.56,60.69,60.25,60.53,232800,92.7793484233,92.9785114896,92.3044211114,92.7333877157,116400,0.0,1.0
2011-03-10,59.45,59.94,59.38,59.94,535600,91.0788022419,91.8294937995,90.9715605908,91.8294937995,267800,0.0,1.0
2011-03-11,59.85,60.07,59.2,59.2,268600,91.6916116766,92.0286568658,90.6957963451,90.6957963451,134300,0.0,1.0
2011-03-14,59.5,59.6299,59.0328,59.48,292200,91.1554034212,91.3544132852,90.4396420014,91.1247629495,146100,0.0,1.0
